,F,I,M,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,age
1864,0,1,0,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,10.5
3971,0,1,0,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,7.5
994,1,0,0,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,9.5
464,0,1,0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,7.5
1849,0,1,0,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,8.5
2415,0,0,1,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,11.5
3411,0,1,0,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,8.5
2299,0,1,0,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,9.5
1236,0,1,0,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,7.5
3599,0,0,1,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,13.5
3112,0,1,0,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,8.5
212,1,0,0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,13.5
1036,1,0,0,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,12.5
4103,0,0,1,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,11.5
900,0,1,0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,5.5
1446,0,1,0,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,6.5
1814,0,0,1,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,11.5
2387,0,1,0,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,12.5
1897,0,0,1,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,14.5
741,1,0,0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,9.5
3738,1,0,0,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,10.5
4066,0,1,0,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,8.5
1616,0,1,0,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,10.5
3633,0,1,0,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,6.5
1206,1,0,0,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,12.5
509,0,1,0,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,17.5
597,0,1,0,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,14.5
2059,0,1,0,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,9.5
2431,1,0,0,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,19.5
981,1,0,0,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,10.5
1672,1,0,0,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,11.5
3744,0,1,0,0.275,0.205,0.065,0.101,0.041,0.021,0.034,6.5
518,0,0,1,0.325,0.23,0.09,0.147,0.06,0.034,0.045,5.5
1744,1,0,0,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,12.5
767,0,0,1,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,10.5
4025,0,1,0,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,8.5
4135,1,0,0,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,12.5
2804,1,0,0,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,10.5
3897,1,0,0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,18.5
421,0,1,0,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,12.5
123,0,0,1,0.37,0.265,0.075,0.214,0.09,0.051,0.07,7.5
2917,0,0,1,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,11.5
2459,1,0,0,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,21.5
3003,1,0,0,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,11.5
819,0,1,0,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,8.5
1403,1,0,0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,11.5
1382,1,0,0,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,10.5
100,0,1,0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,8.5
3741,1,0,0,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,13.5
1575,0,1,0,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,8.5
1283,0,1,0,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,10.5
3924,1,0,0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,21.5
3232,0,0,1,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,14.5
3718,0,1,0,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,8.5
1103,1,0,0,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,8.5
1876,0,1,0,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,10.5
3123,0,0,1,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,10.5
1517,1,0,0,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,11.5
3395,1,0,0,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,14.5
2083,0,0,1,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,12.5
1352,0,0,1,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,11.5
1775,0,1,0,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,9.5
3524,0,1,0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,7.5
3275,0,0,1,0.46,0.355,0.11,0.415,0.215,0.082,0.13,13.5
982,1,0,0,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,10.5
456,1,0,0,0.64,0.54,0.175,1.221,0.51,0.259,0.39,16.5
2470,0,0,1,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,12.5
3151,1,0,0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,22.5
3139,0,1,0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,12.5
3004,1,0,0,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,12.5
381,0,0,1,0.535,0.42,0.145,0.791,0.33,0.189,0.25,11.5
3959,1,0,0,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,12.5
3813,0,1,0,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,9.5
2602,0,0,1,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,9.5
1490,1,0,0,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,10.5
3717,0,1,0,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,8.5
1010,1,0,0,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,12.5
3596,0,0,1,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,11.5
4173,0,0,1,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,11.5
662,1,0,0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,11.5
1915,1,0,0,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,12.5
3509,1,0,0,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,11.5
3853,1,0,0,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,10.5
4101,1,0,0,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,12.5
3180,1,0,0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,8.5
3604,0,1,0,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,9.5
3223,0,0,1,0.52,0.415,0.175,0.753,0.258,0.171,0.255,9.5
2350,1,0,0,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,13.5
3534,0,1,0,0.4,0.315,0.09,0.33,0.151,0.068,0.08,7.5
845,0,0,1,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,10.5
542,0,0,1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,16.5
91,0,0,1,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,13.5
4158,0,1,0,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,9.5
3833,0,0,1,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,12.5
1795,1,0,0,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,11.5
1196,1,0,0,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,12.5
1861,0,0,1,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,9.5
1102,0,0,1,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,7.5
2840,0,0,1,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,10.5
1995,0,1,0,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,7.5
2447,0,1,0,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,7.5
2316,0,0,1,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,14.5
2289,1,0,0,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,11.5
2909,1,0,0,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,10.5
2011,0,0,1,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,9.5
3448,0,0,1,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,8.5
1048,0,0,1,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,12.5
4151,0,1,0,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,7.5
1902,0,0,1,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,12.5
898,0,1,0,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,5.5
1459,0,1,0,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,7.5
2529,1,0,0,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,9.5
237,0,1,0,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,4.5
3688,0,1,0,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,12.5
3877,1,0,0,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,16.5
1133,0,0,1,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,10.5
2763,0,1,0,0.55,0.425,0.135,0.656,0.257,0.17,0.203,11.5
3008,1,0,0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,13.5
163,1,0,0,0.725,0.56,0.21,2.141,0.65,0.398,1.005,19.5
2439,1,0,0,0.345,0.255,0.1,0.197,0.071,0.051,0.06,10.5
2996,1,0,0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,11.5
252,1,0,0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,13.5
3252,0,0,1,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,13.5
2228,1,0,0,0.505,0.39,0.175,0.692,0.267,0.15,0.215,13.5
2543,1,0,0,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,11.5
2119,0,1,0,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,10.5
2229,0,0,1,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,8.5
930,0,1,0,0.44,0.325,0.09,0.35,0.148,0.067,0.105,8.5
2164,0,0,1,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,6.5
1922,0,0,1,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,9.5
3438,0,1,0,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,7.5
1698,0,0,1,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,12.5
3292,1,0,0,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,12.5
3454,1,0,0,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,9.5
3787,0,0,1,0.63,0.49,0.16,1.09,0.407,0.224,0.354,13.5
3367,0,1,0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,18.5
2369,0,1,0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,13.5
3720,1,0,0,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,8.5
1090,0,1,0,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,7.5
3387,0,0,1,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,19.5
4070,0,1,0,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,8.5
3667,1,0,0,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,12.5
2115,0,1,0,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,4.5
1181,1,0,0,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,11.5
1452,0,1,0,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,10.5
593,1,0,0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,20.5
677,1,0,0,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,12.5
41,1,0,0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,15.5
1840,0,1,0,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,9.5
2545,0,1,0,0.205,0.15,0.065,0.04,0.02,0.011,0.013,5.5
3333,0,1,0,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,13.5
2117,1,0,0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,8.5
243,0,1,0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,9.5
1124,1,0,0,0.55,0.43,0.15,0.84,0.395,0.195,0.223,9.5
1339,1,0,0,0.58,0.445,0.15,0.858,0.4,0.156,0.253,9.5
1822,0,0,1,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,12.5
3512,1,0,0,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,12.5
3617,0,0,1,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,10.5
1442,0,1,0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,6.5
261,1,0,0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,13.5
1803,1,0,0,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,11.5
3174,0,0,1,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,10.5
3608,0,0,1,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,8.5
1689,0,0,1,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,11.5
4093,0,0,1,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,12.5
1725,0,0,1,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,10.5
2823,0,1,0,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,8.5
834,0,1,0,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,8.5
3264,1,0,0,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,13.5
1886,0,0,1,0.555,0.455,0.135,0.837,0.382,0.171,0.235,10.5
3193,0,0,1,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,21.5
1818,1,0,0,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,11.5
340,0,0,1,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,15.5
360,0,0,1,0.605,0.49,0.18,1.227,0.48,0.287,0.35,19.5
1601,0,1,0,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,10.5
748,0,0,1,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,15.5
113,0,0,1,0.425,0.35,0.105,0.393,0.13,0.063,0.165,10.5
3747,0,1,0,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,7.5
480,1,0,0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,30.5
2080,0,0,1,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,10.5
2247,1,0,0,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,10.5
3700,1,0,0,0.66,0.53,0.17,1.431,0.622,0.309,0.398,11.5
2714,0,1,0,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,6.5
3012,0,1,0,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,8.5
2154,0,0,1,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,11.5
783,0,1,0,0.385,0.28,0.125,0.244,0.102,0.038,0.085,7.5
3650,0,1,0,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,9.5
2121,0,1,0,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,10.5
2772,0,0,1,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,11.5
1766,1,0,0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,8.5
3404,0,0,1,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,9.5
3522,0,1,0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,5.5
2653,0,1,0,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,10.5
2210,0,0,1,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,19.5
1832,0,1,0,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,9.5
2787,1,0,0,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,12.5
3928,0,1,0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,11.5
3782,1,0,0,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,12.5
3038,0,1,0,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,10.5
1271,0,1,0,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,9.5
3515,1,0,0,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,13.5
3293,0,0,1,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,14.5
1127,0,0,1,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,9.5
626,1,0,0,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,11.5
347,0,1,0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,7.5
1302,0,1,0,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,9.5
3363,0,1,0,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,11.5
1565,0,1,0,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,8.5
3628,1,0,0,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,14.5
2526,0,0,1,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,10.5
979,0,0,1,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,9.5
2412,0,0,1,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,8.5
1423,1,0,0,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,12.5
3665,0,1,0,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,10.5
2118,1,0,0,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,9.5
911,0,1,0,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,8.5
2655,0,0,1,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,8.5
632,0,0,1,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,11.5
2533,0,0,1,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,11.5
445,1,0,0,0.56,0.455,0.19,0.714,0.283,0.129,0.275,10.5
617,0,0,1,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,8.5
2436,0,0,1,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,24.5
2566,1,0,0,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,8.5
2310,1,0,0,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,14.5
1326,0,0,1,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,9.5
286,0,0,1,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,11.5
2589,0,0,1,0.575,0.45,0.155,0.948,0.429,0.206,0.259,8.5
3614,0,0,1,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,12.5
4152,0,1,0,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,8.5
1465,0,1,0,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,9.5
1896,0,0,1,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,10.5
2249,1,0,0,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,13.5
115,1,0,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,12.5
1494,0,0,1,0.62,0.485,0.155,1.049,0.462,0.231,0.25,11.5
353,0,0,1,0.58,0.455,0.17,0.93,0.408,0.259,0.22,10.5
1232,0,1,0,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,8.5
613,0,1,0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,19.5
2821,0,1,0,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,8.5
1950,1,0,0,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,11.5
2499,0,0,1,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,20.5
3950,1,0,0,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,14.5
2683,0,0,1,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,12.5
3998,0,1,0,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,7.5
57,0,0,1,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,9.5
2225,0,0,1,0.59,0.475,0.155,0.857,0.356,0.174,0.28,14.5
2309,0,0,1,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,14.5
3279,1,0,0,0.655,0.53,0.19,1.428,0.493,0.318,0.565,19.5
4126,0,0,1,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,12.5
1735,0,0,1,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,12.5
1253,0,1,0,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,7.5
3551,0,1,0,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,10.5
2663,0,0,1,0.57,0.45,0.135,1.02,0.546,0.204,0.25,10.5
2487,1,0,0,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,12.5
2988,0,0,1,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,10.5
3153,0,0,1,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,10.5
2095,0,0,1,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,8.5
2196,0,1,0,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,12.5
1665,1,0,0,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,9.5
4023,0,1,0,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,7.5
560,1,0,0,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,9.5
2972,0,0,1,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,14.5
707,1,0,0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,11.5
1866,0,1,0,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,11.5
424,0,1,0,0.26,0.2,0.07,0.092,0.037,0.02,0.03,7.5
1093,0,0,1,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,8.5
1376,0,0,1,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,11.5
647,0,0,1,0.48,0.375,0.145,0.777,0.216,0.13,0.17,10.5
72,1,0,0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,21.5
1954,1,0,0,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,12.5
3579,1,0,0,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,10.5
1764,0,1,0,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,6.5
743,1,0,0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,18.5
1957,1,0,0,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,17.5
1005,0,0,1,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,10.5
620,0,0,1,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,11.5
1869,0,1,0,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,10.5
287,1,0,0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,18.5
553,0,1,0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,14.5
1125,0,0,1,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,11.5
1241,0,1,0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,9.5
4068,0,1,0,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,8.5
1554,0,1,0,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,9.5
3774,0,1,0,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,10.5
2404,0,1,0,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,16.5
4055,1,0,0,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,10.5
998,1,0,0,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,9.5
2268,1,0,0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,14.5
2495,0,0,1,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,13.5
2493,0,1,0,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,9.5
2184,0,1,0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,7.5
1397,0,0,1,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,11.5
1577,0,1,0,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,9.5
2761,0,1,0,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,11.5
2340,1,0,0,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,12.5
1620,0,1,0,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,9.5
3888,1,0,0,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,13.5
1826,0,1,0,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,8.5
3766,1,0,0,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,11.5
4167,0,0,1,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,10.5
2474,0,0,1,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,15.5
3906,0,0,1,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,5.5
440,0,1,0,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,11.5
508,0,0,1,0.56,0.435,0.18,0.889,0.36,0.204,0.25,12.5
1100,0,1,0,0.5,0.375,0.12,0.542,0.215,0.116,0.17,10.5
589,1,0,0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,14.5
3212,1,0,0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,15.5
649,1,0,0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,10.5
1546,0,1,0,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,8.5
3873,0,1,0,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,6.5
4133,0,0,1,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,12.5
2476,0,0,1,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,19.5
418,1,0,0,0.63,0.5,0.155,1.005,0.367,0.199,0.36,17.5
4039,0,1,0,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,12.5
2694,1,0,0,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,11.5
1455,0,0,1,0.475,0.37,0.125,0.649,0.347,0.136,0.142,9.5
2218,0,0,1,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,15.5
660,0,1,0,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,19.5
630,0,1,0,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,10.5
672,1,0,0,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,20.5
1249,0,1,0,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,6.5
2104,1,0,0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,12.5
482,0,0,1,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,16.5
1584,1,0,0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,7.5
2374,0,1,0,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,13.5
3634,0,1,0,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,7.5
2276,1,0,0,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,15.5
1462,1,0,0,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,8.5
2940,0,0,1,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,11.5
3559,1,0,0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,11.5
